Tweetidnumber,numimagesboth,tweetertype,tweeterteases,mention,numimgfem,numimgneither,numimgmuscular,numimgskinny,numimgbutt,numimgthigh,numimgarm,numimgneck,numimgtorso,numimgwaist,numimgbody,numimghealthyfood,imgfocuselse,imgfocusbody,imgfocusfood,webtopicelse,webtopicpa,webtopichealtyeat,webtopicdiet,webbroken,web,imagevid,medtype,hashtagonly,english,relevant,promotional,mentionmeds,mentioneatless,mentioneathealthy,mentionexercise,mentionstrength,mentionloseweight,mentionbinge,mentionvomit,mentionwantbody,mentionnone,mentiondisorder,noimage,webtopicmeds,numimgcandy,numimgcombo,numimgmale,numimgcanttell,name1,RT,likes,replies,Followed,Followers,Tweets,Favorites,thinspo,fitspo,thinfit,binumimagesboth,binumimgfem,binumimgarm,binumimgneither,binumimgmuscular,binumimgskinny,binumimgbutt,binumimgthigh,binumimgneck,binumimgtorso,binumimgwaist,binumimgbody,binumimghealthyfood,binumimgcandy,binumimgcombo,binumimgmale,binumimgcanttell
1604,0,unable to tell,No,1,1,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,No,No,No,NA,NA,NA,NA,0,0,176,1,1,0,485,2191,55498,20,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
12947,NA,unable to tell,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Something else,NA,Food,No,No,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,0,0,NA,NA,176,1,0,0,485,2191,55498,20,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,NA,NA
51198,0,unable to tell,No,1,2,2,0,0,0,0,0,2,0,0,0,NA,No,A body or parts of a body,NA,No,No,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,176,1,1,0,485,2191,55498,20,0,1,fitspo,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,NA,NA,NA,No,No
22223,NA,organization or person representing an organization,Neutral and/or unable to tell,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Web page link does not work,No,Image(s) or video(s),NA,Yes,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,177,1,0,0,73,643,3378,48,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4750,0,person representing personal views,No,1,2,0,0,2,0,0,0,1,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,187,1,3,0,359,223,162,50,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,No,No
50332,0,person representing personal views,No,0,4,0,0,4,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,"Specifically mentions an eating disorder (e.g., anorexia, bulimia, BED, ana, mia, etc.)",NA,NA,NA,NA,0,0,210,1,1,0,300,1349,7942,65,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
1291,0,organization or person representing an organization,No,1,0,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,1,0,218,1,2,0,3937,3220,5669,5992,0,1,fitspo,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,Yes,No
1171,0,person representing personal views,No,1,0,0,1,0,0,0,0,0,1,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,1,0,218,1,2,0,3937,3220,5669,5992,0,1,fitspo,No,No,No,No,Yes,No,No,No,No,Yes,No,No,NA,NA,NA,Yes,No
39574,0,person representing personal views,No,1,1,1,0,0,0,1,0,0,0,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,221,1,1,0,73,47,112,2078,1,0,thinspo,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,NA,NA,NA,No,No
50720,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Unable to tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,1,3,0,113,533,2243,152,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51958,0,organization or person representing an organization,No,0,1,1,0,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,No,No,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,253,1,0,0,1645,3373,339281,0,0,1,fitspo,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
64712,1,organization or person representing an organization,No,1,0,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,Something else,No,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,290,1,0,0,1950,5406,9182,2858,0,1,fitspo,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
23921,0,organization or person representing an organization,Neutral and/or unable to tell,0,1,1,0,0,0,1,0,0,0,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,NA,Image(s) or video(s),NA,No,No,Yes,Yes,NA,NA,NA,Exercising harder/more often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,382,1,0,0,91,111,487,31,0,1,fitspo,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,NA,NA,NA,No,No
102,NA,person representing personal views,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,403,1,0,0,141,220,4433,15089,1,0,thinspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
